Designator,Mid X,Mid Y,Rotation,Layer
C1,152.61,-56.2677,90.0,top
C10,149.575,-109.6,180.0,top
C2,164.76,-62.715,180.0,top
C3,137.81,-61.34,270.0,top
C4,164.71,-65.115,180.0,top
C5,151.95,-130.95,270.0,top
C6,142.875,-47.9,0.0,top
C7,143.0,-127.75,0.0,top
C8,159.75,-88.05,90.0,bottom
C9,161.5,-104.1,270.0,bottom
D1,151.95,-74.575,0.0,top
D2,152.0,-48.95,0.0,top
D3,136.145,-119.645,90.0,top
J1,133.915,-91.745,0.0,top
J2,144.145,-44.9,270.0,top
J3,144.195,-135.1,270.0,top
J4,160.505,-48.1475,180.0,top
R1,138.65,-105.465,90.0,top
R10,139.11,-83.015,0.0,top
R11,139.11,-84.015,0.0,top
R12,139.11,-85.015,0.0,top
R13,139.11,-86.065,0.0,top
R14,139.11,-87.115,0.0,top
R15,139.11,-88.165,0.0,top
R16,139.11,-89.215,0.0,top
R17,139.11,-90.265,0.0,top
R18,139.11,-93.015,0.0,top
R19,139.11,-94.165,0.0,top
R2,139.11,-74.015,0.0,top
R20,139.11,-95.215,0.0,top
R21,139.11,-96.265,0.0,top
R22,139.11,-98.815,0.0,top
R23,139.1,-99.925,0.0,top
R24,139.1,-101.0,0.0,top
R25,139.09,-102.1,0.0,top
R26,136.05,-123.85,270.0,top
R3,139.11,-75.215,0.0,top
R4,139.11,-76.515,0.0,top
R5,139.11,-77.615,0.0,top
R6,139.11,-78.665,0.0,top
R7,139.11,-79.765,0.0,top
R8,139.11,-80.915,0.0,top
R9,139.11,-81.965,0.0,top
SW1,133.26,-60.565,270.0,top
U1,163.26,-103.685,0.0,top
U2,153.95,-91.35,270.0,bottom
U3,163.403,-58.2725,0.0,top
U4,153.95,-106.05,270.0,bottom
